"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1995,NA,58.9,0,109
"2","Albania","ALB",1995,771.8625351489,61.8,27.9762057125,30.7
"3","Algeria","DZA",1995,1476.2002615779,52.5,62.113669448,47.3
"4","American Samoa","ASM",1995,NA,NA,NA,NA
"5","Andorra","AND",1995,18218.9100577793,NA,219.0709046455,5.1
"6","Angola","AGO",1995,416.3148338234,82.7,15.0354642801,130.9
"7","Antigua and Barbuda","ATG",1995,7199.4578874364,NA,380.174291939,16.9
"8","Argentina","ARG",1995,7402.9750012337,58.1,616.8915567163,20.2
"9","Armenia","ARM",1995,455.5502760862,63.6,25.8457676807,37.4
"10","Aruba","ABW",1995,16441.9956820812,NA,NA,NA
"11","Australia","AUS",1995,20534.0158029401,63.6,1574.2790156248,5.7
"12","Austria","AUT",1995,29965.0574373595,59,2864.751629005,5.6
"13","Azerbaijan","AZE",1995,397.1981161172,61.6,18.1981673009,66.2
"14","Bahamas, The","BHS",1995,12256.3211735186,72.8,833.8044595205,14.2
"15","Bahrain","BHR",1995,10462.873303984,65.5,466.3478404336,12.1
"16","Bangladesh","BGD",1995,322.9273746064,73.3,10.4191499864,80.8
"17","Barbados","BRB",1995,7057.8316936613,71,459.3201286872,14.5
"18","Belarus","BLR",1995,1370.6727097518,62.4,70.6768694169,13.5
"19","Belgium","BEL",1995,28030.7430475885,50.3,2390.4626827092,6.4
"20","Belize","BLZ",1995,2863.8880917216,59.6,110.4127511599,28.4
"21","Benin","BEN",1995,355.5434652574,73,17.7835909597,97.5
"22","Bermuda","BMU",1995,32913.2893354943,NA,NA,NA
"23","Bhutan","BTN",1995,552.423978558,53.4,20.1587297586,79.2
"24","Bolivia","BOL",1995,898.8397621348,70.4,40.107907051,71.7
"25","Bosnia and Herzegovina","BIH",1995,560.1795003184,59.2,63.7888417347,11.5
"26","Botswana","BWA",1995,3010.6072775886,73.9,127.6566736399,55.8
"27","Brazil","BRA",1995,4751.0652626707,68.6,316.3620001639,41.1
"28","Brunei Darussalam","BRN",1995,16345.9640648825,66.3,483.0688289774,8
"29","Bulgaria","BGR",1995,1555.8437710392,55.4,79.8647130097,18.4
"30","Burkina Faso","BFA",1995,222.5476795158,84,11.3200921166,101
"31","Burundi","BDI",1995,164.3616428451,90.8,9.195027639,106
"32","Cambodia","KHM",1995,308.0968607552,80.7,16.6635091221,87.1
"33","Cameroon","CMR",1995,626.4717331345,65.9,24.9003286265,91.2
"34","Canada","CAN",1995,20117.0996076457,64.4,1825.6644747101,5.8
"35","Cape Verde","CPV",1995,1242.2187972872,61.7,62.3308360035,41
"36","Cayman Islands","CYM",1995,NA,NA,NA,NA
"37","Central African Republic","CAF",1995,337.140933564,78.4,12.2230769224,115.8
"38","Chad","TCD",1995,206.6151787151,72.3,11.722334571,109
"39","Channel Islands","CHI",1995,NA,NA,NA,NA
"40","Chile","CHL",1995,4951.567940619,55.5,264.4341380915,11.4
"41","China","CHN",1995,604.2280605852,78.8,21.3097918919,34.2
"42","Colombia","COL",1995,2537.6902476226,54.6,186.2736036308,26.4
"43","Comoros","COM",1995,468.9593107292,76.4,19.0162982964,81.2
"44","Congo, Dem. Rep.","COD",1995,128.0639028442,69.8,4.309387911,117.3
"45","Congo, Rep.","COG",1995,774.3230319075,72,23.8645328851,70.1
"46","Costa Rica","CRI",1995,3379.2545630072,59.9,219.3316052517,13
"47","Cote d'Ivoire","CIV",1995,749.4693524054,66.6,37.1539520337,105.3
"48","Croatia","HRV",1995,4721.6978794711,55.4,329.6887819473,8.7
"49","Cuba","CUB",1995,2791.3811252761,55.1,123.8263626957,8.1
"50","Curacao","CUW",1995,NA,NA,NA,NA
"51","Cyprus","CYP",1995,14217.5718295888,59.3,700.5331622193,8
"52","Czech Republic","CZE",1995,5348.6638242522,61.5,374.7839722171,8.3
"53","Denmark","DNK",1995,34809.4135740929,65.3,2817.1699963237,5.3
"54","Djibouti","DJI",1995,794.4047679171,67.5,32.1330171456,89
"55","Dominica","DMA",1995,3139.3562752725,NA,192.8028465146,14
"56","Dominican Republic","DOM",1995,2066.4297116284,64.7,105.5549677675,39.6
"57","Ecuador","ECU",1995,1774.8407828518,57.2,72.7611881494,33.1
"58","Egypt, Arab Rep.","EGY",1995,969.3127844586,49.7,36.3908163088,51.1
"59","El Salvador","SLV",1995,1657.0429015119,61.8,105.7898099624,37.8
"60","Equatorial Guinea","GNQ",1995,370.5537896137,62.8,19.0102696056,107.6
"61","Eritrea","ERI",1995,179.9268747765,66.4,8.450407283,72.8
"62","Estonia","EST",1995,3029.2645030425,61.6,167.5034713427,14.7
"63","Ethiopia","ETH",1995,133.33417217,81.2,5.2788156098,98.4
"64","Faeroe Islands","FRO",1995,NA,NA,NA,NA
